printer_id,sPumpMotionName,TorqueSlewMax,TorqueMarginMin,PWMSlewMax,TimeOfMove,AvgSlewTorque
TH36936123085Z,DecayTest,2644,2694,226,38581,2162
TH36936123085Z,DecayTest,2729,2618,228,38581,2162
TH36936123085Z,DecayTest,2776,2559,231,38581,2201
TH36936123085Z,DecayTest,2793,2542,233,38581,2211
TH36936123085Z,DecayTest,2802,2556,231,38581,2220
TH36936123085Z,DecayTest,2751,2612,229,38581,2189
