SamplingHz:  1000,Column1,_1,_2,_3
Number Samples:  3800,,,,
Colors: ,Magenta,Cyan,Yellow,K (Black)
57,0.1448,0.0457,0.0911,0.0998
58,0.0869,0.1615,0.0911,0.0998
59,0.2026,0.1615,0.149,0.0998
60,0.1448,0.1615,0.0911,0.0998
61,0.1448,0.1615,0.149,0.1577
62,0.2026,0.1615,0.0911,0.1577
63,0.1448,0.2194,0.0911,0.1577
64,0.1448,0.1036,0.0911,0.1577
65,0.0869,0.1036,0.149,0.1577
66,0.1448,0.1615,0.149,0.1577
67,0.0869,0.1615,0.0911,0.0998
68,0.1448,0.1036,0.149,0.1577
69,0.2026,0.1036,0.149,0.0998
70,0.1448,0.1036,0.149,0.1577
71,0.1448,0.1036,0.149,0.1577
72,0.1448,0.1615,0.149,0.1577
73,0.1448,0.1036,0.149,0.1577
74,0.0869,0.1036,0.149,0.0998
75,0.2026,0.1615,0.149,0.2156
76,0.0869,0.1036,0.149,0.1577
77,0.0869,0.0457,0.149,0.1577
78,0.1448,0.1036,0.149,0.1577
79,0.2026,0.1036,0.0911,0.1577
80,0.1448,0.1615,0.149,0.1577
81,0.2026,0.1615,0.149,0.1577
82,0.1448,0.1615,0.0911,0.1577
83,0.1448,0.1615,0.0911,0.1577
84,0.2026,0.1615,0.0911,0.1577
85,0.1448,0.1615,0.0911,0.0998
86,0.1448,0.0457,0.0911,0.1577
87,0.1448,0.1615,0.2069,0.1577
88,0.1448,0.1036,0.0911,0.1577
89,0.0869,0.1036,0.149,0.1577
90,0.1448,0.1036,0.149,0.0998
91,0.1448,0.1036,0.149,0.1577
92,0.1448,0.1036,0.149,0.1577
93,0.1448,0.1036,0.149,0.1577
94,0.2026,0.1615,0.149,0.1577
95,0.0869,0.1036,0.149,0.0998
96,0.1448,0.1036,0.149,0.1577
97,0.1448,0.1036,0.149,0.1577
98,0.1448,0.1036,0.149,0.0998
99,0.0869,0.1615,0.0911,0.2156
100,0.2026,0.1615,0.149,0.0998
101,0.1448,0.1615,0.0911,0.2156
102,0.1448,0.1615,0.149,0.0998
103,0.1448,0.1615,0.149,0.1577
104,0.2026,0.1615,0.149,0.0998
105,0.1448,0.1036,0.149,0.0998
106,0.1448,0.1615,0.149,0.1577
107,0.0869,0.1036,0.149,0.0998
108,0.1448,0.1036,0.0911,0.0998
109,0.1448,0.1036,0.149,0.1577
110,0.0869,0.1615,0.149,0.0998
111,0.1448,0.1615,0.149,0.1577
112,0.1448,0.1036,0.0911,0.1577
113,0.0869,0.1615,0.149,0.0998
114,0.0869,0.1615,0.0911,0.1577
115,0.0869,0.1036,0.0911,0.0998
116,0.0869,0.1036,0.149,0.0998
117,0.1448,0.1036,0.0911,0.0998
118,0.1448,0.1615,0.149,0.1577
119,0.1448,0.1615,0.2069,0.1577
120,0.1448,0.1036,0.149,0.0998
121,0.2026,0.1615,0.0911,0.0998
122,0.1448,0.1036,0.149,0.1577
123,0.1448,0.1036,0.149,0.2156
124,0.1448,0.1036,0.0911,0.2156
125,0.0869,0.1036,0.0911,0.0998
126,0.2026,0.1036,0.149,0.1577
127,0.0869,0.1615,0.149,0.0998
128,0.2026,0.1615,0.0911,0.1577
129,0.029,0.1615,0.149,0.0998
130,0.1448,0.1615,0.149,0.1577
131,0.1448,0.1615,0.0911,0.0998
132,0.1448,0.1615,0.0911,0.1577
133,0.029,0.1036,0.149,0.0998
134,0.0869,0.1615,0.0911,0.1577
135,0.1448,0.1615,0.149,0.2156
136,0.1448,0.1036,0.0911,0.0998
137,0.1448,0.1036,0.0911,0.0998
138,0.1448,0.1036,0.149,0.1577
139,0.1448,0.1615,0.149,0.1577
140,0.1448,0.1615,0.149,0.1577
141,0.1448,0.2194,0.0911,0.1577
142,0.1448,0.1036,0.149,0.0998
143,0.1448,0.1615,0.149,0.0998
144,0.1448,0.1036,0.149,0.0998
145,0.1448,0.1036,0.149,0.0419
146,0.0869,0.1036,0.149,0.0998
147,0.1448,0.1615,0.149,0.1577
148,0.0869,0.1036,0.0911,0.1577
149,0.029,0.1615,0.149,0.2156
150,0.1448,0.1615,0.149,0.1577
151,0.0869,0.1615,0.0911,0.1577
152,0.1448,0.1615,0.149,0.1577
153,0.0869,0.1036,0.149,0.1577
154,0.0869,0.1036,0.0911,0.0998
155,0.1448,0.1615,0.2069,0.1577
156,0.0869,0.1615,0.0911,0.1577
157,0.1448,0.1036,0.149,0.0998
158,0.1448,0.1036,0.0911,0.1577
159,0.0869,0.1615,0.0911,0.1577
