SamplingHz:  1000,Column1,_1,_2,_3
Number Samples:  3800,,,,
Colors: ,Magenta,Cyan,Yellow,K (Black)
 156,.0869,.1615,.0911,0.1577
 157,.1448,.1036,.1490,0.0998
 158,.1448,.1036,.0911,0.1577
 159,.0869,.1615,.0911,0.1577
 160,.0869,.1036,.1490,0.0998
 161,.2026,.1036,.1490,0.0998
 162,.1448,.1615,.1490,0.1577
 163,.0869,.1615,.1490,0.1577
 164,.0869,.1615,.1490,0.0998
 165,.0869,.1615,.0911,0.1577
 166,.1448,.1615,.1490,0.1577
 167,.1448,.1036,.0911,0.2156
 168,.2026,.1036,.1490,0.0998
 169,.1448,.1036,.1490,0.1577
 170,.1448,.1615,.0911,0.2156
 171,.1448,.1036,.0911,0.1577
 172,.0869,.1036,.1490,0.0998
 173,.0869,.1615,.0911,0.1577
 174,.1448,.1036,.0332,0.0998
 175,.0869,.1036,.0911,0.1577
 176,.1448,.1615,.0911,0.1577
 177,.2026,.1615,.1490,0.0998
 178,.0869,.1615,.0911,0.1577
 179,.1448,.1036,.1490,0.2156
 180,.1448,.1615,.0911,0.1577
 181,.1448,.1615,.0911,0.1577
 182,.1448,.1615,.0911,0.0998
 183,.0869,.1615,.1490,0.0998
 184,.1448,.1615,.0911,0.1577
 185,.1448,.1036,.1490,0.0998
 186,.2026,.1036,.1490,0.0998
 187,.1448,.1036,.2069,0.1577
 188,.1448,.1615,.1490,0.1577
 189,.0869,.1615,.1490,0.0998
 190,.1448,.1615,.1490,0.0998
 191,.1448,.1615,.1490,0.0998
 192,.0869,.1615,.0911,0.1577
 193,.0869,.1036,.1490,0.0998
 194,.2026,.1615,.0911,0.1577
 195,.0869,.1036,.1490,0.1577
 196,.1448,.1615,.1490,0.1577
 197,.1448,.1615,.1490,0.1577
 198,.1448,.1036,.1490,0.1577
 199,.1448,.1615,.0911,0.1577
 200,.1448,.1615,.1490,0.0998
 201,.1448,.1615,.1490,0.0998
 202,.2026,.1615,.0911,0.0998
 203,.1448,.1615,.1490,0.1577
 204,.1448,.1615,.1490,0.1577
 205,.0869,.1615,.0911,0.1577
 206,.1448,.1615,.0911,0.0998
 207,.2026,.1615,.1490,0.1577
 208,.0869,.1036,.1490,0.1577
 209,.1448,.1036,.0911,0.1577
 210,.1448,.1036,.1490,0.0998
 211,.1448,.1615,.1490,0.1577
 212,.0869,.1036,.1490,0.1577
 213,.1448,.1036,.1490,0.1577
 214,.0869,.1615,.0911,0.1577
 215,.1448,.1036,.1490,0.1577
 216,.0869,.1036,.1490,0.1577
 217,.0869,.1036,.1490,0.0998
 218,.1448,.1036,.0911,0.1577
 219,.1448,.1036,.0911,0.0998
 220,.0869,.1036,.0911,0.0998
 221,.2026,.1036,.1490,0.0998
 222,.1448,.1036,.1490,0.1577
 223,.1448,.1036,.1490,0.0998
 224,.1448,.1036,.0911,0.0998
 225,.1448,.1615,.1490,0.1577
 226,.1448,.1615,.0911,0.0998
 227,.0869,.1615,.1490,0.0998
 228,.0869,.2194,.1490,0.1577
 229,.0869,.1615,.2069,0.1577
 230,.1448,.1615,.1490,0.1577
 231,.0869,.1615,.1490,0.1577
 232,.0869,.1036,.0911,0.1577
